Date,Departure station,Arrival station,Route,Cancellation comments,Departure delay comments,Arrival delay comments
2018-05,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,,,Heurt d’une personne par le TGV 6608 à Maisons-Alfort.
2018-08,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,,,"•problème de traction du 9582 vers Aix-en-Provence. 25 TGV retardés pour 588 min, 9 TGV de l’axe perdus à 5’."
2018-10,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,,,"2 accidents de personne, 2 LTV impactantes Lapeyrouse et Venissieux, 3 incidents marériel important sur LN1, 3 dérangements (aiguillage et caténaire) sur LN1, une alerte vent violent à lapalud"
2019-02,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,,,Accidents de personne
2019-05,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,,,"Heurt de personnes à Vianges, Heurt animal Cuy, heurt chevreuil Lacour d'arcenay, dérangement Yerres, disjonction cluny, Fort impact sur LN1 tronçon central"
2019-06,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,,,"Heurt d'une personne à Paris Bercy, limitation vitesse 6909 sur LN1, dérangement vers Montanay accès LN1, heurt de personne à Maisons Alfort, Dérangement d'installation vers Macon"
2018-02,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)"
2018-07,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par 2 journées de grève ainsi que  par les incidents suivants :
- le 4 : panne d'un train Fret avec une fuite de matières dangereuses, au niveau de Nantes (27 TGV retardés pour 698 minutes perdues),
- le 12 : un colis suspect en  gare du Mans (15 TGV retardés pour 286 minutes perdues),
- le 13 : un dérangement électrique vers Massy (33 TGV retardés pour 797 minutes perdues) et un client qui bloque les portes d'un TGV au départ de Paris-Montparnasse (10 TGV retardés pour 132 minutes perdues), 
- le 17 : un accident de personne vers Sablé (21 TGV retardés pour 757 minutes perdues), 
- le 25 : une défaillance sur un aiguillage après le passage d'un engin travaux sur le chantier de renouvellement des appareils de voies de la ligne à grande vitesse Atlantique (33 TGV retardés pour 663 minutes perdues),
- du 27 au 30 : suite à l'incendie d'un transformateur électrique à Issy-les-Moulineaux, le vendredi 27, l'accès à la gare de Paris-Montparnasse est restreint (322 TGV supprimés et 160 détournés par Paris Austerlitz)."
2018-12,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
- le 4 : un dérangement d'installation sur la ligne à grande vitesse Atlantique (22 TGV impactés pour 466 minutes perdues), 
- le 5 : un accident de personne vers Ancenis (22 TGV pour 1227 minutes perdues), 
 - le 6 : la panne d'un TER vers Morannes (9 TGV impactés pour 237 minutes perdues) et un dérangement d'installation vers Connerré nécessitant une limitation de vitesse (17 TGV impactés pour 193 minutes perdues), 
- le 18 : un incident caténaire à l'entrée de Paris-Montparnasse (79 TGV impactés pour 1034 minutes perdues),
- le 19 : un accident de personne à Varades (18 TGV impactés pour 885 minutes perdues), 
- le 25 : un heurt de sanglier sur la ligne à grande vitesse Atlantique (29 TGV impactés pour 2082 minutes perdues),
- le 31 : une panne d'un TGV sur la ligne à grande vitesse Atlantique ( 7 TGV impactés pour 87 minutes perdues)."
2019-01,ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
- le 3 : un TGV heurte un sanglier à Etriché (13 TGV impactés pour 730 minutes perdues), 
 - le 9 : un choc anormal immobilise un train OUIGO sur la ligne à grande vitesse Atlantique (53 TGV impactés pour 3007 minutes perdues) et le heurt d'un sanglier sur la ligne à grande vitesse Atlantique (25 TGV pour 1 42 minutes perdues), 
- le 17 : un bagage abandonné dans un TGV en gare de Paris-Montparnasse (9 TGV impactés pour 287' perdues),
- les 22 et 23  : les épisodes neigeux sur toute la France (83 TGV pour 1068'perdues),
- le 24 : le heurt d'un chevreuil sur la ligne à grande vitesse Atlantique (68 TGV impactés pour 3628' perdues), 
- le 27 : un TER heurte un sanglier entre Angers et Sablé (8 TGV impactés pour 192' perdues), 
- le 29 : la tempête Gabriel (18 TGV impactés pour 482 minutes perdues), 
- le 30 : les épisodes neigeux en Ile-de-France (33 TGV impactés pour 772' minutes perdues),
- le 31 : une rupture caténaire à l'entrée de Paris-Montparnasse entraine une interruption totale des circulations (128 TGV pour 12028' perdues)."
