Date,Season,Month,Year,Service,Departure station,Arrival station,Average journey time,Number of scheduled trains,Number of cancelled trains,Number of trains delayed at departure,Average delay of late trains at departure,Average delay of all trains at departure,Number of trains delayed at arrival,Average delay of late trains at arrival,Average delay of all trains at arrival,Number of trains delayed > 15min,Average delay of trains > 15min (if competing with flights),Number of trains delayed > 30min,Number of trains delayed > 60min,Pct delay due to external causes,Pct delay due to infrastructure,Pct delay due to traffic management,Pct delay due to rolling stock,Pct delay due to station management and equipment reuse,"Pct delay due to passenger handling (crowding, disabled persons, connections)",Punctuality,Arrival Delay Gap,Departure Delay Gap,Number of trains non delayed,Percent of trains delayed,Route
2018-01,Winter,1,2018,National,AIX EN PROVENCE TGV,PARIS LYON,188.0,402,0,117,6.625641026,4.35103021975,37,35.97432432,4.417205638,37,4.417205638,19,7,42.85714286,22.85714286,8.571428571,190.4200842324105,0.0,2.857142857,94.66180901058209,31.62329410025,-31.62329410025,365,9.203980099502488,AIX EN PROVENCE TGV → PARIS LYON
2018-03,Spring,3,2018,National,AIX EN PROVENCE TGV,PARIS LYON,188.0,396,8,148,7.855518018,3.069974227,39,32.43589744,4.288187285,39,51.29540020276708,14,3,33.33333333,,11.11111111,190.4200842324105,5.555555556,2.777777778,93.55297888684345,29.365923213,-29.365923213,349,9.848484848484848,AIX EN PROVENCE TGV → PARIS LYON
2018-05,Spring,5,2018,National,AIX EN PROVENCE TGV,PARIS LYON,188.0,410,10,47,24.70106383,3.992952381,52,37.06666667,5.488238095,38,5.488238095,23,7,50.0,9.615384615,198.7610364132147,190.4200842324105,7.692307692,1.923076923,92.79261072400408,33.073714288999994,-33.073714288999994,348,12.682926829268293,AIX EN PROVENCE TGV → PARIS LYON
2018-06,Summer,6,2018,National,AIX EN PROVENCE TGV,PARIS LYON,188.0,393,10,39,10.52393162,4.35103021975,56,30.00608466,5.881299735,0,346.4742866898222,15,7,218.89587774190275,34.92063492,23.80952381,7.936507937,9.523809524,4.761904762,95.1520988991285,25.655054440249998,-25.655054440249998,327,14.249363867684478,AIX EN PROVENCE TGV → PARIS LYON
2018-08,Summer,8,2018,National,AIX EN PROVENCE TGV,PARIS LYON,183.0,409,0,258,9.225193798,4.35103021975,56,43.691874997499994,7.609087205,50,7.609087205,20,7,23.40425532,12.76595745,27.65957447,21.27659574,8.510638298,6.382978723,92.32595082850652,39.34084477774999,-39.34084477774999,353,13.691931540342297,AIX EN PROVENCE TGV → PARIS LYON
2018-09,Autumn,9,2018,National,AIX EN PROVENCE TGV,PARIS LYON,183.0,389,1,188,6.707801418,3.324570447,32,32.475470517971125,4.696134021,32,4.696134021,124,7,21.42857143,39.28571429,10.71428571,25.0,,75.91572970554272,95.0013726931581,29.150900070971126,-29.150900070971126,356,8.226221079691516,AIX EN PROVENCE TGV → PARIS LYON
2018-10,Autumn,10,2018,National,AIX EN PROVENCE TGV,PARIS LYON,183.0,397,0,0,8.302147239,3.446641478,49,43.691874997499994,8.559781696,49,8.559781696,26,7,16.32653061,38.7755102,28.57142857,10.20408163,,2.040816327,92.40208508257263,40.24523351949999,-40.24523351949999,348,12.34256926952141,AIX EN PROVENCE TGV → PARIS LYON
2018-12,Winter,12,2018,National,AIX EN PROVENCE TGV,PARIS LYON,187.0,385,3,193,7.391018998,3.804581152,33,40.27020202,4.517277487,0,4.517277487,17,0,30.3030303,6.060606061,198.7610364132147,,6.060606061,3.03030303,97.22114639285931,36.465620868,-36.465620868,349,8.571428571428571,AIX EN PROVENCE TGV → PARIS LYON
2019-02,Winter,2,2019,National,AIX EN PROVENCE TGV,PARIS LYON,,361,8,179,13.47150838,4.35103021975,56,43.691874997499994,10.14173749,44,10.14173749,29,7,15.90909091,50.0,9.090909091,15.90909091,6.818181818,2.272727273,90.66428105545243,39.34084477774999,-39.34084477774999,297,15.512465373961218,AIX EN PROVENCE TGV → PARIS LYON
2019-05,Spring,5,2019,National,AIX EN PROVENCE TGV,PARIS LYON,184.0,432,10,358,4.165782123,3.727483165,32,43.691874997499994,5.241835017,32,346.4742866898222,21,7,50.0,21.875,21.875,3.125,0.0,3.125,94.49673120087037,39.96439183249999,-39.96439183249999,390,7.4074074074074066,AIX EN PROVENCE TGV → PARIS LYON
2019-06,Summer,6,2019,National,AIX EN PROVENCE TGV,PARIS LYON,185.0,410,10,872,4.390265907,3.941408935,37,43.691874997499994,5.403651203,37,48.92342342,22,7,22.85714286,22.85714286,20.0,25.71428571,5.714285714,2.857142857,93.6115865881179,39.750466062499996,-39.750466062499996,363,9.024390243902438,AIX EN PROVENCE TGV → PARIS LYON
2019-07,Summer,7,2019,National,AIX EN PROVENCE TGV,PARIS LYON,188.0,433,0,413,5.87259887,4.35103021975,55,35.2369697,5.516743649,55,35.2369697,26,7,218.89587774190275,29.62962963,11.11111111,27.77777778,3.703703704,3.703703704,92.72950346419668,30.885939480250002,-30.885939480250002,378,12.702078521939955,AIX EN PROVENCE TGV → PARIS LYON
2019-08,Summer,8,2019,National,AIX EN PROVENCE TGV,PARIS LYON,1702.5938009787928,407,0,396,6.391835017,4.35103021975,56,30.52055556,5.309049959,60,30.52055556,21,6,22.03389831,32.20338983,22.03389831,,1.694915254,3.389830508,91.94071116571949,26.169525340249997,-26.169525340249997,351,13.75921375921376,AIX EN PROVENCE TGV → PARIS LYON
2019-10,Autumn,10,2019,National,AIX EN PROVENCE TGV,PARIS LYON,189.0,424,6,0,6.743765281,4.35103021975,56,33.13424658,8.116706539,260,33.13424658,26,7,19.44444444,218.65088787857883,18.05555556,12.5,4.166666667,9.722222222,77.04344199192768,28.78321636025,-28.78321636025,362,13.20754716981132,AIX EN PROVENCE TGV → PARIS LYON
