Date,Departure station,Arrival station,Route,Pct delay due to external causes,Pct delay due to rolling stock,Pct delay due to infrastructure,Pct delay due to traffic management,Pct delay due to station management and equipment reuse,"Pct delay due to passenger handling (crowding, disabled persons, connections)"
2018-01,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,42.85714286,190.4200842324105,22.85714286,8.571428571,0.0,2.857142857
2018-03,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,33.33333333,190.4200842324105,,11.11111111,5.555555556,2.777777778
2018-05,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,50.0,190.4200842324105,9.615384615,198.7610364132147,7.692307692,1.923076923
2018-06,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,218.89587774190275,7.936507937,34.92063492,23.80952381,9.523809524,4.761904762
2018-08,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,23.40425532,21.27659574,12.76595745,27.65957447,8.510638298,6.382978723
2018-09,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,21.42857143,25.0,39.28571429,10.71428571,,75.91572970554272
2018-10,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,16.32653061,10.20408163,38.7755102,28.57142857,,2.040816327
2018-12,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,30.3030303,,6.060606061,198.7610364132147,6.060606061,3.03030303
2019-02,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,15.90909091,15.90909091,50.0,9.090909091,6.818181818,2.272727273
2019-05,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,50.0,3.125,21.875,21.875,0.0,3.125
2019-06,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,22.85714286,25.71428571,22.85714286,20.0,5.714285714,2.857142857
2019-07,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,218.89587774190275,27.77777778,29.62962963,11.11111111,3.703703704,3.703703704
2019-08,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,22.03389831,,32.20338983,22.03389831,1.694915254,3.389830508
2019-10,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,19.44444444,12.5,218.65088787857883,18.05555556,4.166666667,9.722222222
2019-11,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,,190.4200842324105,218.65088787857883,12.5,8.333333333,0.0
2019-12,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,73.33333333,190.4200842324105,0.0,6.666666667,0.0,6.666666667
2020-01,AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV → PARIS LYON,36.84210526,0.0,26.31578947,26.31578947,10.52631579,0.0
